course,Introduction,Fee,Duration,Link,Address,Contact
SARJANA MUDA SAINS BIOPERUBATAN (KEPUJIAN),NA,1380 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/perubatan-pergigian-dan-kesihatan/288-sm03-ijazah-sarjana-muda-sains-kesihatan-kepujian-bioperubatan,"Pusat Pengajian Sains Pergigian, Kampus Kesihatan, Universiti Sains Malaysia, 16150 Kubang Kerian, Kelantan, Malaysia.",NA
SARJANA MUDA SINARAN PERUBATAN (KEPUJIAN),NA,1380 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/perubatan-pergigian-dan-kesihatan/289-sm04-ijazah-sarjana-muda-sains-kesihatan-kepujian-sinaran-perubatan,"Pusat Pengajian Sains Pergigian, Kampus Kesihatan, Universiti Sains Malaysia, 16150 Kubang Kerian, Kelantan, Malaysia.",NA
SARJANA MUDA DIETETIK (KEPUJIAN),NA,1380 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/perubatan-pergigian-dan-kesihatan/290-sm05-ijazah-sarjana-muda-sains-kesihatan-kepujian-dietetik,"Pusat Pengajian Sains Pergigian, Kampus Kesihatan, Universiti Sains Malaysia, 16150 Kubang Kerian, Kelantan, Malaysia.",NA
SARJANA MUDA PEMAKANAN (KEPUJIAN),NA,1380 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/perubatan-pergigian-dan-kesihatan/291-sm06-ijazah-sarjana-muda-sains-kesihatan-kepujian-pemakanan,"Pusat Pengajian Sains Pergigian, Kampus Kesihatan, Universiti Sains Malaysia, 16150 Kubang Kerian, Kelantan, Malaysia.",NA
SARJANA MUDA SAINS KESIHATAN (KEPUJIAN) (SAINS SENAMAN DAN SUKAN),NA,1380 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/perubatan-pergigian-dan-kesihatan/297-sm18-ijazah-sarjana-muda-sains-kesihatan-kepujian-sains-senaman-dan-sukan,"Pusat Pengajian Sains Pergigian, Kampus Kesihatan, Universiti Sains Malaysia, 16150 Kubang Kerian, Kelantan, Malaysia.",NA
SARJANA MUDA KESIHATAN PERSEKITARAN DAN PEKERJAAN (KEPUJIAN),NA,1380 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/perubatan-pergigian-dan-kesihatan/293-sm10-ijazah-sarjana-muda-sains-kesihatan-kepujian-kesihatan-persekitaran-dan-pekerjaan,"Pusat Pengajian Sains Pergigian, Kampus Kesihatan, Universiti Sains Malaysia, 16150 Kubang Kerian, Kelantan, Malaysia.",NA
DOKTOR PERUBATAN,NA,1600 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/perubatan-pergigian-dan-kesihatan/287-sm00-ijazah-doktor-perubatan,"Pusat Pengajian Sains Pergigian, Kampus Kesihatan, Universiti Sains Malaysia, 16150 Kubang Kerian, Kelantan, Malaysia.",NA
DOKTOR PERGIGIAN,NA,1600 per semester,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/perubatan-pergigian-dan-kesihatan/249-sd00-ijazah-doktor-pergigian,"Pusat Pengajian Sains Pergigian, Kampus Kesihatan, Universiti Sains Malaysia, 16150 Kubang Kerian, Kelantan, Malaysia.",NA
SARJANA MUDA PATOLOGI PERTUTURAN (KEPUJIAN),NA,NA,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/perubatan-pergigian-dan-kesihatan/296-sm17-ijazah-sarjana-muda-sains-kesihatan-kepujian-patologi-pertuturan,"Pusat Pengajian Sains Pergigian, Kampus Kesihatan, Universiti Sains Malaysia, 16150 Kubang Kerian, Kelantan, Malaysia.",NA
SARJANA MUDA TEKNOLOGI KEJURUTERAAN BIOPROSES DENGAN KEPUJIAN,NA,NA,NA,http://admission.usm.my/index.php/en/undergraduate-malaysian/program-pengajian/ijazah-sarjana-muda-penuh-masa/sains/310-sy07-ijazah-sarjana-muda-teknologi-kepujian-bioproses,"Pusat Pengajian Teknologi Industri, Universiti Sains Malaysia 11800 Penang.",NA
